year;Armenia;Austria;Belgium;Bulgaria;Switzerland;Cyprus;Czech Republic;Germany;Denmark;Estonia;Greece;Spain;Finland;France;Croatia;Hungary;Ireland;Israel;Italy;Lithuania;Luxembourg;Latvia;Netherlands;Norway;Poland;Portugal;Romania;Serbia;Sweden;Slovenia;Slovakia;Turkey;Ukraine;United Kingdom;USA;Canada;Japan;China;South Korea;India;Australia;Singapore
2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;0;56;724;0;10;367;3;900;412;0;0;24;4;863;0;0;402;11;304;0;0;0;405;23;1;2;0;0;6;0;0;3;0;1578;0;0;0;0;0;0;0;0
2016;0;10;280;0;640;305;1;915;402;0;1;748;13;618;0;1;0;21;532;1;167;0;416;0;1156;20;11;0;2;2;0;0;0;998;0;0;0;0;0;0;0;0
2017;0;814;12;0;31;0;363;1476;14;0;2;218;10;869;0;1;0;5;1069;0;2;0;21;0;0;0;0;0;7;0;0;0;0;847;180;65;40;200;3;1;18;0
2018;0;333;2;236;1096;4;3;2361;211;0;0;1134;810;1665;0;1;2;10;1507;0;0;0;2110;2;277;0;6;0;307;0;2;2;0;915;270;65;80;200;7;2;26;0
2019;0;1871;587;1;2505;0;16;1361;15;1;60;1112;43;515;0;0;0;402;1043;369;2;0;661;6;3;15;0;0;1059;0;0;0;0;1495;400;70;120;200;8;3;40;0
2020;0;1183;9;0;662;29;0;1069;737;0;0;1537;142;2531;0;1;1383;9;167;0;2;0;1167;336;0;31;0;0;34;16;0;0;0;1044;600;70;270;250;12;180;52;0
2021;90;81;56;1;240;0;31;1773;38;18;593;1616;294;468;0;14;5;33;141;0;0;0;170;538;535;0;0;14;29;16;0;0;0;331;750;240;480;250;15;180;60;0
2022;0;239;88;0;504;2;16;2321;624;0;500;660;65;3400;0;0;273;28;420;16;2;0;1483;27;3;3;0;1;407;17;0;2;0;188;900;60;610;300;50;180;80;20
2023;0;3447;42;0;105;45;83;5627;70;0;1090;1190;953;5211;2;5;31;16;1489;0;0;0;1068;845;202;249;0;1;332;162;2;2;0;0;820;90;335;300;75;0;370;40
2024;0;817;1419;0;0;0;198;2883;38;0;250;1247;327;1234;0;1;506;254;2735;0;0;2;863;27;339;507;0;2;158;6;17;0;0;1;880;75;670;320;94;50;120;40
2025;0;818;526;0;89;0;21;731;413;1;30;356;343;1179;2;35;5;61;588;33;1;0;580;327;73;23;0;0;25;28;0;250;0;343;0;0;0;0;0;0;0;0
2026;0;44;0;0;29;0;40;105;50;0;0;39;0;92;17;0;70;0;118;0;0;0;23;0;0;19;0;0;1;0;0;0;0;109;0;0;0;0;0;0;0;0
