"projectID";"ai";"biodiversity";"cleanAir";"climate";"digitalAgenda"
"101167187";"0";"0";"0";"0";"40"
"101114648";"40";"0";"40";"40";"40"
"101071734";"0";"0";"0";"100";"0"
"101114316";"0";"0";"0";"0";"0"
"101114020";"0";"0";"0";"0";"0"
"101071680";"0";"0";"0";"0";"0"
"101071600";"0";"0";"0";"0";"0"
"101114429";"0";"0";"0";"0";"0"
"101114261";"0";"0";"0";"0";"40"
"101102760";"0";"0";"0";"0";"40"
"101114169";"40";"0";"0";"0";"40"
"101113939";"40";"0";"0";"0";"40"
"101114204";"0";"0";"0";"0";"40"
"101114220";"0";"0";"0";"0";"0"
"101071988";"0";"0";"0";"0";"0"
"101158152";"0";"0";"0";"0";"0"
"101114412";"0";"0";"0";"0";"0"
"101114191";"0";"0";"0";"0";"0"
"101114451";"0";"0";"0";"0";"100"
"101071724";"0";"0";"0";"0";"0"
"101072133";"0";"0";"0";"0";"0"
"101114035";"40";"0";"0";"0";"40"
"101113904";"0";"0";"0";"0";"0"
"101072034";"0";"0";"0";"0";"0"
"101113615";"40";"0";"0";"0";"0"
"101113791";"0";"0";"0";"0";"40"
"101071868";"0";"0";"0";"0";"0"
"101114041";"100";"0";"0";"0";"40"
"101113949";"0";"0";"0";"0";"0"
"101071876";"0";"0";"0";"0";"0"
"101113634";"0";"0";"0";"0";"0"
"101114180";"0";"0";"0";"0";"0"
"101114484";"40";"0";"0";"0";"0"
"101113295";"0";"0";"0";"0";"0"
"101113961";"40";"0";"0";"0";"40"
"101071749";"0";"0";"0";"0";"0"
"101113560";"0";"0";"0";"0";"0"
"101114060";"0";"0";"0";"0";"0"
"101114249";"0";"0";"0";"0";"0"
"101113968";"0";"0";"0";"0";"40"
"101114128";"0";"0";"40";"0";"0"
"101114096";"40";"0";"0";"40";"40"
"101114083";"100";"0";"40";"0";"40"
"101071626";"0";"0";"0";"0";"0"
"101114473";"0";"0";"0";"0";"0"
"101113806";"0";"0";"0";"0";"0"
"101071430";"0";"0";"0";"0";"0"
"101114487";"0";"0";"0";"0";"0"
"101113597";"0";"0";"0";"0";"0"
"101114192";"0";"0";"0";"0";"0"
"101114399";"40";"0";"0";"0";"40"
"101114178";"40";"0";"0";"0";"40"
"101113873";"0";"0";"0";"40";"40"
"101114240";"40";"0";"0";"0";"40"
"101114248";"0";"0";"0";"0";"0"
"101114150";"0";"0";"0";"0";"0"
"101114552";"100";"40";"0";"40";"100"
"101071856";"0";"0";"0";"0";"0"
