"projectID";"topic";"title"
"686527";"FETOPEN-CSA-FETTAKEUP-2015";"FET Take-Up Coordination and Support Activities 2015"
"951890";"FETPROACT-EIC-06-2019";"EIC Transition to Innovation Activities"
"737301";"FETOPEN-02-2016";"FET-Open Coordination and Support Actions"
"754264";"FETOPEN-04-2016-2017";"FET Innovation Launchpad"
"800986";"FETOPEN-04-2016-2017";"FET Innovation Launchpad"
"665134";"FETOPEN-2-2014";"Coordination and Support Activities"
"653339";"MG-7.2b-2014";"Towards seamless mobility addressing fragmentation in ITS deployment in Europe"
"831884";"JTI-CS2-2018-CFP08-THT-02";"Cognitive Computing potential for cockpit operations"
"737669";"FTIPilot-01-2016";"Fast Track to Innovation Pilot"
"853899";"EIC-FTI-2018-2020";"Fast Track to Innovation (FTI)"
"824753";"FETOPEN-02-2018";"FET-Open Coordination and Support Actions"
"893100";"SESAR-ER4-08-2019";"Behavioural Economics in ATM"
"643574";"HCO-14-2014";"Bridging the divide in European health research and innovation"
"850506";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"828774";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"101034765";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"851246";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"851956";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"946174";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"101034891";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"851204";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"101034955";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"824748";"FETOPEN-02-2018";"FET-Open Coordination and Support Actions"
"850877";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"101034471";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"101034926";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"643328";"INNOSUP";"INNOSUP"
"959871";"INNOSUP-05-2018-2020";"Peer learning of innovation agencies"
"831298";"H2020EENSGA3";"EEN H2020 SGA3"
"743493";"H2020-SGA2-EEN";"H2020 2D CONSULTATION EEN"
"674854";"INNOVATION";"Enhancing the innovation management capacity of SMEs"
"879686";"H2020-EEN-SGA4";"H2020 ENTREPRISE EUROPE NETWORK SGA4 2020-2021"
"952395";"WIDESPREAD-06-2020";"ERA Chairs"
